"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"82265","89727","342.29",".00",".00",".00",".00","342.29","342.29",".00",".00","342.29",".00",".00","342.29",".00",".00",".00","342.29",".00","342.29","342.29",".00","","{DE211F66-AA46-77A5-865D-084393251FAE}"
"85174","92883","16019.04","425.00",".00",".00","425.00","16444.04","10561.38",".00",".00","10561.38","5882.66","5000.00","166.29","40209.89","425.00","40634.89","40801.18","24357.14","10561.38","34918.52","5882.66","","{73533407-4B62-7ACD-0542-66BABB03620D}"
"85175","92884","5882.66",".00",".00",".00",".00","5882.66","95.82",".00",".00","95.82","5786.84","5000.00","166.29","40634.89",".00","40634.89","40801.18","34918.52","95.82","35014.34","5786.84","","{4C87B7BA-727F-6C08-C10D-6D2272E6BC7C}"
"85186","92895","45217.47","15.00",".00",".00","15.00","45232.47","45232.47",".00",".00","45232.47",".00",".00","41439.13","108362.50","15.00","108377.50","149816.63","104584.16","45232.47","149816.63",".00","","{37AC8788-369A-0937-5F9C-3825B6C2A3EF}"
"85198","92907",".00","11.60",".00",".00","11.60","11.60","11.60",".00",".00","11.60",".00",".00",".00",".00","11.60","11.60","11.60",".00","11.60","11.60",".00","","{481E7F46-8BC7-F74C-6C8F-05631C01DA39}"
"85205","92915","24.01",".00",".00",".00",".00","24.01","24.01",".00",".00","24.01",".00",".00","24.01",".00",".00",".00","24.01",".00","24.01","24.01",".00","","{2C731690-1597-1E94-ED40-151C35EA95B7}"
"85245","92954","741.59",".00",".00",".00",".00","741.59",".00",".00",".00",".00","741.59",".00","1269.75",".00",".00",".00","1269.75",".00",".00",".00","1269.75","","{7712B161-F619-B300-E05F-0137A57FB6CB}"
"85246","92955",".00","284.45",".00",".00","284.45","284.45","212.14",".00",".00","212.14","72.31",".00",".00",".00","284.45","284.45","284.45",".00","212.14","212.14","72.31","","{962A511B-4272-289A-E9AC-9887F8CF0B6F}"
"85248","92957",".00","100.00",".00","2000.00","2100.00","2100.00","50.87",".00",".00","50.87","2049.13","2000.00",".00",".00","2100.00","2100.00","2100.00",".00","50.87","50.87","2049.13","","{5E32AF49-C187-8566-1DD7-9C07FB0F72B0}"
"85253","92962","1307.03","590.47",".00",".00","590.47","1897.50","1367.50","530.00",".00","1897.50",".00",".00",".00","4975.77","590.47","5566.24","5566.24","3668.74","1897.50","5566.24",".00","","{F4D49C93-FE13-CB83-B862-5DC1F133EDB0}"
"85254","92963",".00",".00",".00","41094.70","41094.70","41094.70",".00","600.00",".00","600.00","40494.70","40494.70",".00",".00","41094.70","41094.70","41094.70",".00","600.00","600.00","40494.70","","{D190B5B3-2385-C896-BC36-708CCB10ACA9}"
"85255","92964","66.46",".00",".00",".00",".00","66.46",".00",".00",".00",".00","66.46","3000.00","4548.85","35903.27",".00","35903.27","40452.12","40385.66",".00","40385.66","66.46","","{C79FE45A-C479-B219-D634-831A298CF3F1}"
