"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"103122","114968","6","1225.00","9","1286.14","11","570.00","2","83.77","28","3164.91",".00","1286.14","83.77","165.01","1534.92",".00","300.00","300.00",".00","300.00","","{269C0564-E0DD-CCBE-47B5-4378E13A619B}"
"109898","122392","1","200.00","1","240.00","1","50.00","1","95.00","4","585.00",".00","240.00","95.00","23.17","358.17",".00",".00",".00",".00",".00","","{662FF450-0E80-E35C-D394-B998179024E9}"
"110186","122780","85","125210.00","6","17118.38","66","3165.00","0",".00","157","145493.38",".00","17118.38",".00","89790.04","106908.42",".00",".00",".00",".00",".00","","{40138587-2B49-C917-72A2-8FF55C758EE7}"
"110292","122934","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{909DC5D9-AB18-1F47-844F-81592791BF82}"
"110294","122936","2","800.00","0",".00","2","200.00","0",".00","4","1000.00",".00",".00",".00","175.14","175.14",".00","500.00","500.00",".00","500.00","","{486F9F73-BCFE-8519-3A92-F5B64AAE12AA}"
"110295","122937","1","500.00","0",".00","4","170.00","0",".00","5","670.00",".00",".00",".00","234.76","234.76",".00",".00",".00",".00",".00","","{3191B021-E241-8CE9-9376-8F6FF4F9D394}"
"110296","122938","0",".00","0",".00","5","67.22","0",".00","5","67.22",".00",".00",".00","83.02","83.02",".00",".00",".00",".00",".00","","{17556975-07F3-793C-B72F-84A4A3563974}"
"110297","122939","11","4768.90","1","1147.78","16","980.00","0",".00","28","6896.68",".00","1147.78",".00","4500.05","5647.83","437.00",".00","437.00",".00","437.00","","{38A29008-422B-ECE3-8122-EF8F37514F0C}"
"110298","122940","1","360.00","0",".00","0",".00","0",".00","1","360.00",".00",".00",".00","150.00","150.00","9030.11",".00","9030.11",".00","9030.11","","{F2311992-0320-2ECC-2245-54122B4B7565}"
"110299","122941","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","19648.81","19648.81",".00",".00",".00",".00",".00","","{E302B857-7984-E233-B776-5C5DD0FF8405}"
"110300","122942","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","200.00",".00","200.00",".00","200.00","","{D7EF3587-7E65-99A5-493E-0273271D67B8}"
"110301","122943","1","360.00","0",".00","1","75.00","0",".00","2","435.00",".00",".00",".00","561.07","561.07",".00",".00",".00",".00",".00","","{B11709D2-17C4-14B4-1184-CB0868EB8518}"
"110302","122944","4","220.00","0",".00","53","2133.00","0",".00","57","2353.00",".00",".00",".00","1745.89","1745.89",".00",".00",".00",".00",".00","","{22C39DF2-C35D-BC96-2377-D625DFF39903}"
"110303","122945","11","3100.00","0",".00","19","1310.00","0",".00","30","4410.00",".00",".00",".00","2071.58","2071.58",".00",".00",".00",".00",".00","","{DE60E7BB-E32E-891A-A3EC-74FD4BDADF98}"
"110305","122947","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{65915871-2992-067F-F9D7-F1CE3DCE8563}"
"110306","122948","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","2985.02",".00","2985.02",".00","2985.02","","{6F135434-8102-62F6-ABB9-30348BDEB604}"
"110307","122949","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{C6D89AA0-1478-E0E8-0CCD-93CB8B8EA63E}"
"110308","122950","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{F7983BD2-3D2B-5209-5895-E7CC3F29C501}"
"110309","122951","2","1250.00","0",".00","0",".00","0",".00","2","1250.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{13C9CF0E-CF7C-F1B5-B03D-2703A100A210}"
"110310","122952","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{DD8DA9B8-8E4C-489B-5798-5EF43A15AEB0}"
"110311","122953","2","1250.00","0",".00","0",".00","0",".00","2","1250.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{13C9CF0E-CF7C-F1B5-B03D-2703A100A210}"
"110312","122954","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","12.00","12.00",".00",".00",".00",".00",".00","","{FA432ECF-4554-6785-EDB3-1F3BBBBC8176}"
"110313","122955","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","170.00",".00","170.00",".00","170.00","","{81E67E2C-AD80-498C-B90B-20E5ADE131F4}"
"110314","122956","3","1750.00","2","3372.03","6","250.00","0",".00","11","5372.03",".00","3372.03",".00","25.69","3397.72",".00",".00",".00",".00",".00","","{75C5FA50-C9E4-FFF6-F184-C816F1377415}"
"110320","122963","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{23B1507F-B9E7-3AC4-C902-9CD3FC5A4660}"
"110321","122964","13","14625.00","0",".00","4","400.00","0",".00","17","15025.00",".00",".00",".00","605.00","605.00",".00",".00",".00",".00",".00","","{56767D55-4DFA-22F0-BECA-81F71D5E4D88}"
"110323","122966","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A037D044-311A-AF58-5D4F-A0370576DF33}"
"110325","122968","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{BA6B6925-4A61-B5FC-1D91-E858F5CEAFEA}"
"110326","122969","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{6570F7D3-8E90-9499-F212-AA04339DCC6C}"
"110327","122970","12","3630.00","1","872.03","65","3400.17","0",".00","78","7902.20",".00","872.03",".00","8428.54","9300.57",".00",".00",".00",".00",".00","","{65311469-2DBC-6720-13D0-EF2ECAB5EDEF}"
"110328","122971","7","1200.00","1","2500.00","24","1072.68","0",".00","32","4772.68",".00","2500.00",".00","2162.39","4662.39",".00",".00",".00",".00",".00","","{DACB304E-A417-21D9-E11A-78EFE1CCAB07}"
"110330","122973","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","7101.00","7101.00",".00",".00",".00",".00",".00","","{CC25596A-FA2A-227D-7586-82C6ED4384EC}"
"110331","122974","2","393.90","0",".00","8","505.05","1","20.00","11","918.95",".00",".00","20.00","1315.41","1335.41","100.00",".00","100.00",".00","100.00","","{643151C6-78F5-D1F6-CB6E-CD007CCE9E21}"
"110332","122975","0",".00","0",".00","3","225.00","0",".00","3","225.00",".00",".00",".00",".00",".00","100.00",".00","100.00",".00","100.00","","{5FC298A0-EE18-1D49-CA41-4194D15F1415}"
"110333","122977","2","2000.00","1","122.15","0",".00","1","52.02","4","2174.17",".00","122.15","52.02","1363.47","1537.64",".00",".00",".00",".00",".00","","{33FF74A0-F782-CDAD-2218-1F311AF1979A}"
"110334","122978","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","5105.00",".00","5105.00",".00","5105.00","","{D972BD4F-1557-CA5A-C67A-F995782320DB}"
"110335","122979","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{EBF4D132-22BB-8EEE-11CA-39B82AE14112}"
"110336","122980","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","33100.00",".00","33100.00",".00","33100.00","","{4C4A2C7C-1CEA-AEF8-A95B-8AE9936D5A98}"
"110337","122981","4","2300.00","0",".00","4","275.00","0",".00","8","2575.00",".00",".00",".00","368.94","368.94","1178.20",".00","1178.20",".00","1178.20","","{0BCC7292-7DC2-3EAE-8322-EF65100CEC2B}"
"110339","122984","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{7486ED89-8416-B5F4-A47D-1205D66E7000}"
"110340","122985","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{EA7F21FE-94B2-8EFA-1A01-5BB43E71C699}"
"110342","122987","0",".00","1","500.00","0",".00","0",".00","1","500.00",".10","500.00",".00","377.76","877.76","2000.00",".00","2000.00",".00","2000.00","","{A7ACB06F-725D-E588-52D4-754A0492FC13}"
"110343","122988","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1166.92","1166.92",".00",".00",".00",".00",".00","","{58A1A4CA-B3B5-033E-9F55-B8884877C704}"
"110345","122990","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1458.34","1458.34","200.00","2000.00","2200.00",".00","2200.00","","{E9B3E63C-498C-D88F-421C-7F477297F342}"
"110347","122992","0",".00","0",".00","2","150.00","1","35.00","3","185.00",".01",".00","35.00","506.60","541.60",".00",".00",".00",".00",".00","","{683AE3F9-2321-2342-8D98-1A576A1EA70A}"
"110350","122995","0",".00","0",".00","2","100.00","0",".00","2","100.00",".00",".00",".00","13000.00","13000.00",".00",".00",".00",".00",".00","","{F9DE51FF-BE17-5115-91C9-5789DD58A4AC}"
